subj_idx,response,rt,trial,split_by,feedback,subj_code,q_init
1,0,0.954,1,1,1,7114320,0.5
1,1,1.631,1,1,0,7114320,0.5
1,0,1.079,2,1,1,7114320,0.5
1,0,1.631,2,1,1,7114320,0.5
1,0,1.102,3,1,1,7114320,0.5
1,0,0.873,3,1,1,7114320,0.5
1,0,0.625,4,1,0,7114320,0.5
1,0,0.957,4,1,1,7114320,0.5
1,1,2.018,5,1,0,7114320,0.5
1,0,2.421,5,1,1,7114320,0.5
1,1,0.415,6,1,0,7114320,0.5
1,0,0.71,6,1,0,7114320,0.5
1,1,1.014,7,1,0,7114320,0.5
1,0,1.776,7,1,1,7114320,0.5
1,0,0.396,8,1,1,7114320,0.5
1,0,0.948,8,1,0,7114320,0.5
1,0,0.477,9,1,1,7114320,0.5
1,0,1.358,9,1,1,7114320,0.5
1,0,0.605,10,1,1,7114320,0.5
1,0,2.167,10,1,1,7114320,0.5
1,0,0.335,11,1,0,7114320,0.5
1,1,1.881,11,1,1,7114320,0.5
1,0,0.34,12,1,1,7114320,0.5
1,0,0.879,12,1,1,7114320,0.5
1,1,0.408,13,1,0,7114320,0.5
1,1,2.342,13,1,1,7114320,0.5
1,0,0.436,14,1,0,7114320,0.5
1,1,0.949,14,1,0,7114320,0.5
1,0,0.809,15,1,0,7114320,0.5
1,1,0.83,15,1,0,7114320,0.5
1,1,0.722,16,1,1,7114320,0.5
1,0,0.422,16,1,1,7114320,0.5
1,1,0.484,17,1,0,7114320,0.5
1,0,0.298,17,1,1,7114320,0.5
1,1,0.498,18,1,0,7114320,0.5
1,0,1.253,18,1,1,7114320,0.5
1,0,0.492,19,1,0,7114320,0.5
1,0,1.13,19,1,0,7114320,0.5
1,0,0.202,20,1,1,7114320,0.5
1,1,1.639,20,1,0,7114320,0.5
1,1,0.424,21,1,1,7114320,0.5
1,0,2.135,21,1,1,7114320,0.5
1,0,0.508,22,1,1,7114320,0.5
1,1,1.776,22,1,0,7114320,0.5
1,0,0.482,23,1,1,7114320,0.5
1,0,1.051,23,1,0,7114320,0.5
1,0,0.726,24,1,1,7114320,0.5
1,0,1.432,24,1,0,7114320,0.5
1,1,0.353,25,1,1,7114320,0.5
1,0,0.675,25,1,0,7114320,0.5
1,0,0.243,26,1,1,7114320,0.5
1,0,0.676,26,1,1,7114320,0.5
1,0,0.347,27,1,0,7114320,0.5
1,0,1.028,27,1,1,7114320,0.5
1,1,0.298,28,1,0,7114320,0.5
1,1,1.448,28,1,0,7114320,0.5
1,0,0.238,29,1,1,7114320,0.5
1,1,1.455,29,1,1,7114320,0.5
1,1,0.294,30,1,0,7114320,0.5
1,0,0.704,30,1,1,7114320,0.5
1,0,1.698,31,1,1,7114320,0.5
1,0,1.095,31,1,0,7114320,0.5
1,0,1.41,32,1,1,7114320,0.5
1,0,0.793,32,1,1,7114320,0.5
1,0,0.872,33,1,1,7114320,0.5
1,0,1.058,33,1,0,7114320,0.5
1,0,0.813,34,1,0,7114320,0.5
1,0,0.877,34,1,1,7114320,0.5
1,1,0.959,35,1,0,7114320,0.5
1,1,0.998,35,1,0,7114320,0.5
1,1,1.215,36,1,0,7114320,0.5
1,1,1.264,36,1,0,7114320,0.5
1,0,1.053,37,1,1,7114320,0.5
1,1,1.129,37,1,0,7114320,0.5
1,1,0.499,38,1,1,7114320,0.5
1,0,0.679,38,1,0,7114320,0.5
1,1,0.299,39,1,1,7114320,0.5
1,0,0.545,39,1,1,7114320,0.5
1,1,0.366,40,1,0,7114320,0.5
1,0,0.703,40,1,1,7114320,0.5
1,1,0.241,41,1,1,7114320,0.5
1,0,0.56,41,1,0,7114320,0.5
1,1,0.226,42,1,0,7114320,0.5
1,0,1.522,42,1,0,7114320,0.5
1,0,0.317,43,1,1,7114320,0.5
1,1,0.816,43,1,0,7114320,0.5
1,0,0.365,44,1,0,7114320,0.5
1,0,0.717,44,1,1,7114320,0.5
1,0,0.641,45,1,0,7114320,0.5
1,0,1.01,45,1,0,7114320,0.5
1,1,0.241,46,1,1,7114320,0.5
1,0,0.985,46,1,0,7114320,0.5
1,0,0.882,47,1,1,7114320,0.5
1,0,0.77,47,1,0,7114320,0.5
1,0,0.794,48,1,0,7114320,0.5
